Organization Name,Organization Name URL,Actively Hiring,Founded Date,Founded Date Precision,Number of Employees,Full Description,Industries,Headquarters Location,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Description,CB Rank (Company),Last Funding Date,Funding Status,Number of Funding Rounds,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD)
Baller Mixed Reality,https://www.crunchbase.com/organization/baller-mixed-reality,,2021-02-15,day,1-10,"Baller Mixed Reality is pioneering the new era of Autographed Metaverse Collectibles with its creation of Augmented Reality NFTs autographed by legendary athletes and entertainers.  According to Crunchbase, Baller is the #1 Ranked 3D Technology Company, #1 Ranked Augmented Reality Company with Seed Funding, and #1 Ranked Blockchain Company with Seed Funding in the United States. Baller produces unique digital assets that, unlike other NFTs, can be placed into real-world environments and viewed from 360 degrees in high-definition 3D - both inside and outside of the metaverse.  Baller’s innovative collectibles sit at the nexus of the $15B market for sports memorabilia, $25B market for NFTs, and the projected $6.2B market for Augmented Reality Smart Glasses - which will soon-be released by Apple, Samsung, Facebook and others. Additionally, the authenticity and individual ownership of each Baller asset is verifiable on the blockchain, solving the long-standing problem of fraud and counterfeits in the collectibles market. See full Pitch Deck at https://prezi.com/i/efu7wf9pbjee/ballermr-pitch-deck/ --- > Yahoo - ""Baller became the first to create and sell an augmented reality NFT (""3D-AR NFT"") of an autographed collectible.” > Benzinga - ""Baller Mixed Reality, a cutting-edge start-up venture that is pioneering the development of Autographed Metaverse Collectibles in the form of 3D-AR NFTs... a major innovation in sports memorabilia.” > Bloomberg - ""Another benefit of Baller's ground-breaking NFTs is that they leverage blockchains to solve the long-standing problem of counterfeit items in the collectibles market... eliminating the potential for fraud and false ownership claims."" > ""NFTs Are 4 Ever"" Podcast - ""A significant experimentation into the metaverse. Very innovative... a potentially legendary collection. This mixed reality could be more valuable than items in the real world.” More at https://www.crunchbase.com/organization/baller-mixed-reality/signals_and_news/","3D Technology, Augmented Reality, B2C, Blockchain, Collectibles, Content Marketing, Cryptocurrency, Digital Entertainment, Semantic Web, Sports","Miami Beach, Florida, United States",3000000,USD,3000000,Pioneering the New Era of Metaverse Collectibles with Augmented Reality NFTs Autographed by Legendary Athletes & Entertainers,234,2022-03-15,M&A,2,Seed,3000000,USD,3000000
Inworld AI,https://www.crunchbase.com/organization/inworld-ai,,2021-07-12,day,11-50,"Inworld AI is an AI developer platform for immersive realities/metaverse spaces. Its platform creates AI-powered virtual characters to populate immersive realities including the metaverse, VR/AR, games, and virtual worlds. Inworld AI is funded by VCs including Kleiner Perkins, CRV, Bitkraft, Founders Fund, Section 32, M12, Intel Capital and Meta, as well as a team of all-star angels including corporate executives, top VC funds' partners, scouts, and industry veterans. The company was founded in 2021 and is headquartered in Mountain View, California.","Artificial Intelligence, Gaming, Machine Learning, Virtual Reality","Mountain View, California, United States",50000000,USD,50000000,"Inworld AI is a creative platform for AI-driven virtual characters, immersive realities, and metaverse spaces.","1,033",2022-08-23,Early Stage Venture,4,Series A,50000000,USD,50000000
Everyrealm,https://www.crunchbase.com/organization/Everyrealm,,2021-04-01,month,11-50,"Everyrealm is a digital real estate vehicle that invests in virtual worlds through NFTs. They invest in, manage, and develop assets including NFTs, virtual real estate, metaverse platforms, gaming, and infrastructure.","Blockchain, Cryptocurrency, Real Estate","New York, New York, United States",60000000,USD,60000000,Everyrealm is a digital real estate vehicle that invests in virtual worlds through NFTs.,"3,455",2022-02-10,Early Stage Venture,2,Series A,60000000,USD,60000000
LootMogul,https://www.crunchbase.com/organization/lootmogul,,2020-09-14,day,11-50,"LootMogul is an athlete-led sports metaverse web3 platform that uses blockchain games, meta stores for brands and players, and virtual homes and training facilities to provide in-real-life (IRL) prizes. The company's goal is to empower folks with the ability to earn and hold digital assets that can exist within or outside of any game. LootMogul was founded in 2020 by Raj Rajkotia and Kuntal Sampat.","Blockchain, Fantasy Sports, Gaming, Media and Entertainment, Virtual Reality","Santa Monica, California, United States",200000000,USD,200000000,"LootMogul is an athlete-led sports metaverse web3 platform that uses blockchain games, meta stores for brands and players.","5,080",2022-09-16,,3,Venture - Series Unknown,200000000,USD,200000000
Star Atlas,https://www.crunchbase.com/organization/star-atlas,,2020-08-07,day,11-50,"Star Atlas is a metaverse introducing a gaming experience by harnessing the power of traditional core games and blockchain mechanics. Star Atlas is a grand strategy game that combines space exploration, territorial conquest, political dominance, and resource management.","Blockchain, Gaming, Virtual Reality","San Francisco, California, United States",750000,USD,750000,Star Atlas is a metaverse introducing a gaming experience by harnessing the power of traditional core game and blockchain mechanics.,"7,796",2022-01-01,,3,Venture - Series Unknown,750000,USD,750000
GuildFi,https://www.crunchbase.com/organization/guildfi,,2021-01-01,year,11-50,GuildFi is a gaming platform that empowers all gamer communities and creates interoperability across the Metaverse.,"Apps, Gaming, Video Games","Bangkok, Krung Thep, Thailand",300000,USD,300000,GuildFi is a gaming platform that empowers all gamer communities and creates interoperability across the Metaverse.,"7,947",2022-01-01,,2,Undisclosed,300000,USD,300000
Scenario,https://www.crunchbase.com/organization/scenario-2576,,2021-01-01,year,11-50,Scenario is a developer of application modeling 3D objects for the metaverse. This technology makes and shares 3D experiences that help in scanning and capturing anything in the world with a smartphone.,"3D Technology, Information Technology, Software","San Francisco, California, United States",6000000,USD,6000000,Scenario is a developer of application modeling 3D objects for the metaverse.,"8,054",2023-01-19,Seed,1,Seed,6000000,USD,6000000
Kingdomverse,https://www.crunchbase.com/organization/kingdomverse,,2023-01-01,month,11-50,,"Blockchain, Cryptocurrency, Virtual Currency","Washington, District of Columbia, United States",3600000,USD,3600000,"Kingdomverse, a metaverse mobile game developer.","8,213",2023-02-07,Seed,1,Seed,3600000,USD,3600000
Flam,https://www.crunchbase.com/organization/homingos,,2021-05-21,day,51-100,Flam is a social Metaverse company democratising AR creation/ consumption as the first entry point.  They are seeing tremendous traction in India and did a soft launch through Wallgreens in the US.,"Augmented Reality, Social Network","Bangalore, Karnataka, India",3500000,USD,3500000,Flam is a social metaverse company.,"8,226",2021-07-27,Seed,2,Seed,3500000,USD,3500000
BUD,https://www.crunchbase.com/organization/bud-abc8,,2019-07-22,day,101-250,"Founded in 2019 by former Snap engineers, Risa Feng and Shawn Lin, Singapore-headquartered BUD is building a user-generated open metaverse gaming platform that connects millions of virtual worlds created by our community, made up of 9 million creators.  Since its global launch in November 2021, BUD skyrocketed to the list of top 10 social apps in more than 38 countries around the world including North America, Southeast Asia and South America. Millions of 3D content has been created and traded on the platform. BUD has become a digital social hub where millions of people come to create, play and hangout.","3D Technology, Gaming, Internet, Social Media, Social Network","Singapore, Central Region, Singapore",37000000,USD,37000000,"BUD is an open metaverse gaming platform that connects millions of virtual worlds created by our community, made up of 9 million creators.","8,629",2022-05-23,Early Stage Venture,5,Series B,37000000,USD,37000000
Yahaha,https://www.crunchbase.com/organization/bolygon,,2020-01-01,year,101-250,"Yahaha is a 3D creation-free platform for metaverse games. At any time, they can play amazing 3D games created by creators all over the world with their friends. And, with its simple, fun, and free creation tools, can realize their dreams and become a game or 3D content creator. With simple and easy tools and templates, it makes 3D content creation accessible to all creators. Creators on YAHAHA are part of an exciting new social community where they can share creative, fun experiences where the only limit is their imagination.","Online Games, Social Network","Helsinki, Southern Finland, Finland",40000000,USD,40000000,Yahaha develops a platform where developers and game players can use the engine to develop their own games and publish it on the platform.,"8,644",2022-11-14,Early Stage Venture,4,Series A,40000000,USD,40000000
